ingredient,category,cid,smiles,iupac_name,formula,MW,XLogP_pubchem,TPSA_pubchem,HBD_pubchem,HBA_pubchem,RotB_pubchem,HeavyAtoms_pubchem,MW_rdkit,LogP_rdkit,TPSA_rdkit,HBD_rdkit,HBA_rdkit,RotB_rdkit,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,logKp_PottsGuy_baseline,large_molecule_flag,highly_polar_flag,canon_smiles,in_MW_domain,in_LogP_domain
Niacinamide,whitening,936,C1=CC(=CN=C1)C(=O)N,pyridine-3-carboxamide,C6H6N2O,122.12,-0.4,56.0,1,2,1,9,122.12699999999998,0.1805,55.98,1,2,1,1,1,0.0,32.7549,3,-3.3168197,False,False,NC(=O)c1cccnc1,True,True
Arbutin,whitening,440936,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol",C12H16O7,272.25,-0.7,120.0,5,7,3,19,272.253,-1.4291000000000005,119.61,5,7,3,2,1,0.5,62.50200000000004,7,-5.3754043000000005,False,False,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,True,True
Alpha-Arbutin,whitening,158637,C1=CC(=CC=C1O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol",C12H16O7,272.25,-0.7,120.0,5,7,3,19,272.253,-1.4291000000000005,119.61,5,7,3,2,1,0.5,62.50200000000004,7,-5.3754043000000005,False,False,OC[C@H]1O[C@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,True,True
Tranexamic acid,whitening,5526,C1CC(CCC1CN)C(=O)O,4-(aminomethyl)cyclohexane-1-carboxylic acid,C8H15NO2,157.21,-2.0,63.3,2,3,2,11,157.21300000000002,0.8361000000000001,63.32000000000001,2,2,2,1,0,0.875,42.1382,3,-3.0653683000000003,False,False,NCC1CCC(C(=O)O)CC1,True,True
Kojic acid,whitening,3840,C1=C(OC=C(C1=O)O)CO,5-hydroxy-2-(hydroxymethyl)pyran-4-one,C6H6O4,142.11,-0.9,66.8,2,4,1,10,142.11,-0.1623,70.67,2,4,1,1,1,0.1666666666666666,32.56559999999999,4,-3.682104,False,False,O=c1cc(CO)occ1O,True,True
Ellagic acid,whitening,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,"6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione",C14H6O8,302.19,1.1,134.0,4,8,0,22,302.19399999999996,1.3128,141.34,4,8,0,4,4,0.0,73.87719999999999,8,-3.6112954,False,True,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,True,True
Glutathione,whitening,124886,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,C10H17N3O6S,307.33,-4.5,160.0,6,8,9,20,307.32800000000003,-2.2060999999999984,158.82000000000002,6,6,9,0,0,0.6,71.27440000000003,10,-6.1410317999999995,False,True,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,True,True
Resveratrol,whitening_antioxidant,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",C14H12O3,228.24,3.1,60.7,3,3,2,17,228.247,2.973800000000002,60.69,3,3,2,2,2,0.0,66.80640000000001,3,-1.980908699999999,False,False,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,True,True
Retinol,anti_aging_retinoid,445354,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol",C20H30O,286.5,5.7,20.2,1,1,5,21,286.45900000000006,5.510300000000006,20.23,1,1,5,1,0,0.5,93.21180000000004,1,-0.5350868999999965,False,False,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,True,True
Retinaldehyde,anti_aging_retinoid,638015,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",C20H28O,284.4,6.2,17.1,0,1,5,21,284.44300000000004,5.716900000000005,17.07,0,1,5,1,0,0.45,92.19000000000004,1,-0.3761032999999969,False,False,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,True,True
