Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References
BSA,531.0,66000.0,0.82,1,1,26.76103315,1.0,17.6958866,93.96515777,"Kochhar JS, Zou S, Chan SY, Kang L. Protein encapsulation in polymeric microneedles by photolithography. Int J Nanomedicine. 2012;7:3143-3154"
BSA,526.0,66000.0,0.82,1,1,26.76103315,1.0,19.6069373,103.1324902,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,1.0,21.105305,345.4938423,
BSA,531.0,66000.0,0.82,1,1,26.76103315,3.0,43.4244588,230.5838763,
BSA,526.0,66000.0,0.82,1,1,26.76103315,3.0,41.0656409,216.0052712,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,3.0,60.4525744,657.1194841,
BSA,1074.0,66000.0,0.82,1,1,26.76103315,3.0,67.3015549,722.8187001,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,3.0,39.2530672,642.57271,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,3.0,52.0930871,706.9031923,
BSA,531.0,66000.0,0.82,1,1,26.76103315,6.0,69.0601156,366.7092141,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,6.0,59.3925167,645.5966565,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,6.0,52.4463134,858.5461502,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,6.0,50.2869057,682.3933104,
BSA,531.0,66000.0,0.82,1,1,26.76103315,9.0,84.5230355,448.8173186,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,9.0,69.2492967,752.7398547,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,9.0,59.8994766,980.5544326,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,9.0,56.6249605,768.4007143,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,18.0,65.3458244,710.309111,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,18.0,61.464777,1006.1784,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,18.0,68.5504493,930.2295971,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,24.0,72.4323982,787.3401685,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,24.0,73.4407834,1202.225625,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,24.0,64.2742561,872.2016558,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,30.0,85.5601298,930.038611,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,30.0,82.0372965,1342.950544,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,30.0,75.2731973,1021.457288,
BSA,531.0,66000.0,0.82,1,1,26.76103315,42.0,87.2715328,463.4118392,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,42.0,97.4726018,1059.527182,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,42.0,87.5537651,1433.255135,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,42.0,88.4325192,1200.029285,
BSA,1087.0,66000.0,0.82,1,1,26.76103315,48.0,108.3982246,1178.288701,
BSA,1637.0,66000.0,0.82,1,1,26.76103315,48.0,95.1974867,1558.382857,
BSA,1357.0,66000.0,0.82,1,1,26.76103315,48.0,91.6883371,1244.210734,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,1.4442226,1024.531509,"Kochhar JS, Lim WX, Zou S, Foo WY, Pan J, Kang L. Microneedle integrated transdermal patch for fast onset and sustained delivery of lidocaine. Mol Pharm. 2013;10:4272-4280."
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,1.5646029,1109.929295,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,2.0977566,1488.148502,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,3.128349,2219.250807,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,3.7167494,2636.662022,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,2.9352834,2082.29003,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.25,3.5109631,2490.677205,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,2.9352834,2082.29003,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,3.5109631,2490.677205,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,2.9352834,2082.29003,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,3.5109631,2490.677205,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.5,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.5,2.9352834,2082.29003,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.75,1.2837534,910.694674,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,0.75,2.9352834,2082.29003,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.0,4.035592,2862.848942,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.0,5.0122475,3555.688395,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,7.0138816,1895.431377,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,5.7532681,1554.763163,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,1.0,9.1872652,2482.766544,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.5,6.078239,4311.902742,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,1.5,7.3378683,5205.483748,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,2.0,8.371411,5938.678996,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,2.0,9.4920383,6733.651992,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,2.0,14.8085004,4001.849144,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,2.0,11.7574187,3177.324831,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,3.0,10.9104547,7739.876585,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,3.0,11.9575269,8482.669584,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,3.0,2.4474498,1238.213787,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,3.0,2.3593597,1193.647249,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.2602985,4394.183075,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.2278188,4385.405754,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,3.0,16.0061849,4325.511402,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,6.0,18.313884,12991.86928,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,6.0,20.1212327,14274.00249,
