strategy,n_train,r2_mean,r2_std,rmse_mean,rmse_std
Random,12,0.5907543984885907,0.11969420651021881,0.721914458873776,0.10895265895832333
Random,15,0.670628817045815,0.11137030607944678,0.645630052409483,0.10708425741763376
Random,18,0.6970221167371746,0.1285322230467468,0.6157424604749651,0.12958457015083547
Random,21,0.7168297769407778,0.13899706105945953,0.5936815001681179,0.14543943693695358
Random,24,0.7526309848231116,0.13548581345950328,0.5537075016197989,0.15926974273125732
Random,27,0.7773312875575217,0.1383051380267313,0.5205633050295181,0.1695414999034842
Random,30,0.8076258493113382,0.11525182006778797,0.48624128244603826,0.14682947743689592
Random,33,0.8599971026592593,0.05815813939533976,0.4194187736235658,0.09231293405794233
Random,36,0.8832080715474196,0.04349413030692751,0.38311214190456955,0.06988342174878995
Random,39,0.9135157733062085,0.03222496068295675,0.3302977433772495,0.05823204783356787
Random,42,0.9156241079109376,0.029721151705473448,0.32729024857850614,0.05461580819447809
Random,45,0.923762414409475,0.03106426592021199,0.31023403233043,0.05906475004040738
Random,48,0.9293326322695045,0.02233288126534923,0.29998328713947664,0.04425315831205157
Random,51,0.9319773468948727,0.020023055192669153,0.2945634736213101,0.03974618445713236
Random,54,0.9355279445055134,0.020469969945453834,0.28630731572107243,0.0422357198926915
Random,57,0.9383415557158843,0.01998873868213073,0.2802151501287247,0.04422371008278977
Random,60,0.942465533472624,0.016031854577465022,0.27193119606314553,0.03754657142997171
Random,63,0.9470472267835376,0.015520643585981885,0.2604857849408385,0.036701077124807475
Random,66,0.9499719643091964,0.018108744107654017,0.2508972471313061,0.04400517725172086
Random,69,0.9577965800879842,0.017472966326755896,0.2285943248957624,0.04254255853464699
Random,72,0.9646151424354212,0.013825948334468933,0.21061824462777312,0.03532016306717785
Random,75,0.9637761032224134,0.014039248025317266,0.2132100466771581,0.03690580960251361
Random,78,0.964941182665681,0.014499548204840024,0.20939095592911924,0.03974037655339255
Random,81,0.9659893881996606,0.015019279206899473,0.205465155081657,0.041859966379452836
Random,84,0.9658901418411728,0.01390989535287531,0.20669928240624058,0.03654235925960657
Random,87,0.9661750390102917,0.013625409972397903,0.2058564379739094,0.035836180200778896
Random,90,0.9678859119547546,0.012082778675479983,0.201111825846851,0.03253552276155996
Random,93,0.9680846787051027,0.013990430854623032,0.19935189146174398,0.03790851385397834
Random,96,0.9718046276997772,0.01206319793166788,0.18847039990654635,0.03510818253510776
Random,99,0.972486257990823,0.01011508739952131,0.18684500647950691,0.029102716503326045
Random,102,0.9729043620794771,0.010417964236989633,0.18517459860326674,0.030220253842190604
Random,105,0.9740748036113114,0.010549928338924843,0.18081713826657772,0.031794423545100495
Random,108,0.9757797388095574,0.010469195377299493,0.17461168071843186,0.033002008001374435
Random,111,0.9764155022013506,0.010597344957194112,0.1719780107230793,0.034699603493039584
Random,114,0.9767189470602101,0.010393442906548702,0.17077517327997413,0.03502137733595707
Random,117,0.9772220887203318,0.010692749061222933,0.1686976053576086,0.03637621596355482
GP-Uncertainty,12,0.5907543984885907,0.11969420651021881,0.721914458873776,0.10895265895832333
GP-Uncertainty,15,0.7128317260817814,0.0766106788524197,0.6076976079586167,0.08323607531198285
GP-Uncertainty,18,0.7744600942506142,0.04960610929293107,0.5394026267892739,0.05212114403498707
GP-Uncertainty,21,0.7714886737854669,0.0794523710541901,0.5366702623527229,0.08640435974686467
GP-Uncertainty,24,0.8285115245391484,0.0635140069871584,0.4636084567233822,0.08301422914998816
GP-Uncertainty,27,0.8626479411701465,0.04715476949135163,0.4169654186201292,0.0656607909573333
GP-Uncertainty,30,0.8771335651695923,0.04790986025407104,0.39246204653306443,0.06967417371671707
GP-Uncertainty,33,0.891830643632645,0.04405615769740868,0.36734785826975147,0.06971381938795995
GP-Uncertainty,36,0.8994791748113029,0.042787750566282486,0.35402530337413773,0.07166926130659754
GP-Uncertainty,39,0.9150213458918934,0.027694417210329017,0.32885080520959403,0.04936635138052563
GP-Uncertainty,42,0.9239837983712423,0.02266899291842649,0.3113419339229111,0.04055624293180204
