held_out_drug,strategy,n_train_final,r2_final,rmse_final
BSA,Random,158,-44.08269033798135,1.9760440692006724
BSA,GP-Uncertainty,158,-43.69306134174807,1.967486518463534
BSA,RF-QBC,158,-43.77498145871243,1.9692888444991605
lidocaine,Random,116,-0.19288947673576784,0.9758694392012154
lidocaine,GP-Uncertainty,116,-0.19747636243226685,0.9777438403725326
lidocaine,RF-QBC,116,-0.2297194718282236,0.9908197136884302
Rhodamine B,Random,170,-113.2856923436236,2.1046322370477957
Rhodamine B,GP-Uncertainty,170,-99.3116807000078,1.9717690253725761
Rhodamine B,RF-QBC,170,-96.64026298638967,1.945336595276544
caffeine,Random,170,0.07160197494368858,0.568353807296852
caffeine,GP-Uncertainty,170,0.09596502071774926,0.5608468525619053
caffeine,RF-QBC,170,0.01355633738931683,0.5858518600908876
copper ions,Random,164,-11.814467303653718,1.139643652323515
copper ions,GP-Uncertainty,164,-12.35571005751567,1.163462227877447
copper ions,RF-QBC,164,-11.638677478996687,1.1317998001940277
GHK peptide,Random,164,-4.318313616220285,1.4376713601461064
GHK peptide,GP-Uncertainty,164,-4.13592797180363,1.4128046368094573
GHK peptide,RF-QBC,164,-4.2443238550301405,1.4276357044336037
