id,year,title,authors,journal,doi,pmid,citations,theme,method,source
88,2021,"Topical drug delivery: History, percutaneous absorption, and product development.",Michael S Roberts; Hanumanth S Cheruvu; Sean E Mangion; Azadeh Alinaghi; Heather A E Benson; Yousuf Mohammed; Amy Holmes; John van der Hoek,Advanced drug delivery reviews,10.1016/j.addr.2021.113929,34403750,196,skin_permeability_qsar,QSPR,pubmed
100,2018,Predicting drug permeability through skin using molecular dynamics simulation.,Magnus Lundborg; Christian L Wennberg; Ali Narangifard; Erik Lindahl; Lars Norlén,Journal of controlled release : official journal of the Controlled Release Society,10.1016/j.jconrel.2018.05.026,29864475,123,md_atomistic_skin,MD,pubmed
76,2017,The index of ideality of correlation: A criterion of predictability of QSAR models for skin permeability?,Alla P Toropova; Andrey A Toropov,The Science of the total environment,10.1016/j.scitotenv.2017.01.198,28196626,111,skin_permeability_qsar,QSAR,pubmed
105,2017,Quantitative structure-skin permeability relationships.,Ivanka Tsakovska; Ilza Pajeva; Merilin Al Sharif; Petko Alov; Elena Fioravanzo; Simona Kovarich; Andrew P Worth; Andrea-Nicole Richarz,Toxicology,10.1016/j.tox.2017.06.008,28645577,93,skin_permeability_qsar,review,pubmed
69,2022,Machine Learning-Enabled Prediction of 3D-Printed Microneedle Features.,Misagh Rezapour Sarabi; M Munzer Alseed; Ahmet Agah Karagoz; Savas Tasoglu,Biosensors,10.3390/bios12070491,35884294,76,microneedle_design_simulation,ML,pubmed
96,2018,Human skin barrier structure and function analyzed by cryo-EM and molecular dynamics simulation.,Magnus Lundborg; Ali Narangifard; Christian L Wennberg; Erik Lindahl; Bertil Daneholt; Lars Norlén,Journal of structural biology,10.1016/j.jsb.2018.04.005,29702212,74,md_atomistic_skin,MD,pubmed
14,2024,Machine learning in drug delivery,Adam J. Gormley,Journal of Controlled Release,10.1016/j.jconrel.2024.06.045,,73,formulation_optimization_ml,none,crossref
8,2015,Predicting chemically-induced skin reactions. Part II: QSAR models of skin permeability and the relationships between skin permeability and skin sensitization,Vinicius M. Alves; Eugene Muratov; Denis Fourches; Judy Strickland; Nicole Kleinstreuer; Carolina H. Andrade; Alexander Tropsha,Toxicology and Applied Pharmacology,10.1016/j.taap.2014.12.013,25560673,69,skin_permeability_qsar,QSAR,crossref
86,2019,Predicting Skin Permeability by Means of Computational Approaches: Reliability and Caveats in Pharmaceutical Studies.,Beatrice Pecoraro; Marco Tutone; Ewelina Hoffman; Victoria Hutter; Anna Maria Almerico; Matthew Traynor,Journal of chemical information and modeling,10.1021/acs.jcim.8b00934,30658035,63,skin_permeability_qsar,QSAR,pubmed
87,2022,"Artificial Intelligence-Assisted Bioinformatics, Microneedle, and Diabetic Wound Healing: A ""New Deal"" of an Old Drug.",Yanan Xue; Cheng Chen; Rong Tan; Jingyu Zhang; Qin Fang; Rui Jin; Xiangyu Mi; Danying Sun,ACS applied materials & interfaces,10.1021/acsami.2c08994,35913266,58,microneedle_ml_permeation,AI,pubmed
80,2015,In silico prediction of percutaneous absorption and disposition kinetics of chemicals.,Longjian Chen; Lujia Han; Ouarda Saib; Guoping Lian,Pharmaceutical research,10.1007/s11095-014-1575-0,25407547,51,md_atomistic_skin,FEM,pubmed
