ingredient,category,MW_rdkit,LogP_rdkit,logKp_PottsGuy_baseline,potts_guy_recomputed,potts_guy_existing_minus_recomputed,logp_group_by_dataset_median,logp_group_threshold
Niacinamide,whitening,122.12699999999998,0.1805,-3.3168197,-3.3168197,0.0,lower_LogP_half,0.67315
Arbutin,whitening,272.253,-1.4291000000000005,-5.3754043000000005,-5.3754043000000005,0.0,lower_LogP_half,0.67315
Alpha-Arbutin,whitening,272.253,-1.4291000000000005,-5.3754043000000005,-5.3754043000000005,0.0,lower_LogP_half,0.67315
Tranexamic acid,whitening,157.21300000000002,0.8361000000000001,-3.0653683000000003,-3.0653683000000003,0.0,higher_LogP_half,0.67315
Kojic acid,whitening,142.11,-0.1623,-3.682104,-3.6821040000000003,4.440892098500626e-16,lower_LogP_half,0.67315
Ellagic acid,whitening,302.19399999999996,1.3128,-3.6112954,-3.6112954000000004,4.440892098500626e-16,higher_LogP_half,0.67315
Glutathione,whitening,307.32800000000003,-2.2060999999999984,-6.1410317999999995,-6.1410317999999995,0.0,lower_LogP_half,0.67315
Resveratrol,whitening_antioxidant,228.247,2.973800000000002,-1.980908699999999,-1.9809086999999992,2.220446049250313e-16,higher_LogP_half,0.67315
Retinol,anti_aging_retinoid,286.45900000000006,5.510300000000006,-0.5350868999999965,-0.5350868999999965,0.0,higher_LogP_half,0.67315
Retinaldehyde,anti_aging_retinoid,284.44300000000004,5.716900000000005,-0.3761032999999969,-0.3761032999999969,0.0,higher_LogP_half,0.67315
Retinyl palmitate,anti_aging_retinoid,524.8740000000004,11.542499999999986,2.2934435999999874,2.2934435999999874,0.0,higher_LogP_half,0.67315
Adapalene,anti_aging_retinoid,412.5290000000003,6.681400000000005,-0.472632899999998,-0.472632899999998,0.0,higher_LogP_half,0.67315
Bakuchiol,anti_aging_retinoid,256.389,5.344100000000005,-0.4696618999999968,-0.46966189999999686,5.551115123125783e-17,higher_LogP_half,0.67315
Ascorbic acid,antioxidant_vitc,176.124,-1.4073999999999995,-4.7736104,-4.7736104,0.0,lower_LogP_half,0.67315
Ascorbyl palmitate,antioxidant_vitc,414.5390000000001,4.624800000000003,-1.9450798999999992,-1.9450798999999992,0.0,higher_LogP_half,0.67315
Magnesium ascorbyl phosphate,antioxidant_vitc,579.0730000000001,-9.778000000000006,-13.174725300000004,-13.174725300000004,0.0,lower_LogP_half,0.67315
Sodium ascorbyl phosphate,antioxidant_vitc,322.049,-13.305800000000003,-14.111616900000003,-14.111616900000003,0.0,lower_LogP_half,0.67315
3-O-Ethyl ascorbic acid,antioxidant_vitc,204.178,-0.9288999999999998,-4.6050048,-4.6050048,0.0,lower_LogP_half,0.67315
Ferulic acid,antioxidant,194.186,1.4986,-2.8205286000000003,-2.8205286000000003,0.0,higher_LogP_half,0.67315
Alpha-tocopherol,antioxidant,430.7170000000002,8.840260000000002,0.9492108999999996,0.9492108999999997,-1.1102230246251565e-16,higher_LogP_half,0.67315
Idebenone,antioxidant,338.44400000000013,3.462300000000003,-2.306275399999999,-2.306275399999999,0.0,higher_LogP_half,0.67315
Coenzyme Q10,antioxidant,863.3649999999994,17.853899999999975,4.709742499999984,4.709742499999984,0.0,higher_LogP_half,0.67315
Glycerin,moisturizer,92.09399999999998,-1.6681,-4.4461244,-4.4461244,0.0,lower_LogP_half,0.67315
Panthenol,moisturizer,205.25399999999996,-1.1355999999999995,-4.7583253999999995,-4.7583253999999995,0.0,lower_LogP_half,0.67315
Urea,moisturizer,60.05599999999999,-0.9762,-3.7594436,-3.7594436,0.0,lower_LogP_half,0.67315
Betaine,moisturizer,117.14799999999998,-1.5574999999999983,-4.520427799999998,-4.520427799999998,0.0,lower_LogP_half,0.67315
Trehalose,moisturizer,342.297,-5.3971999999999944,-8.620023699999997,-8.620023699999997,0.0,lower_LogP_half,0.67315
Sorbitol,moisturizer,182.172,-3.585399999999998,-6.356883199999999,-6.356883199999999,0.0,lower_LogP_half,0.67315
Propylene glycol,moisturizer_vehicle,76.095,-0.6405,-3.6189345,-3.6189345000000004,4.440892098500626e-16,lower_LogP_half,0.67315
"1,2-Hexanediol",moisturizer_vehicle,118.17599999999996,0.5297999999999998,-3.0447156000000004,-3.0447156,-4.440892098500626e-16,lower_LogP_half,0.67315
Ceramide NP,barrier_lipid,581.9670000000004,9.314,0.362941299999997,0.362941299999997,0.0,higher_LogP_half,0.67315
Squalane,barrier_lipid,422.8260000000003,11.08439999999999,2.59068539999999,2.59068539999999,0.0,higher_LogP_half,0.67315
Cholesterol,barrier_lipid,386.66400000000016,7.38870000000001,0.1873266000000057,0.18732660000000578,-8.326672684688674e-17,higher_LogP_half,0.67315
Linoleic acid,barrier_lipid,280.4519999999999,5.884500000000005,-0.2327621999999958,-0.2327621999999958,0.0,higher_LogP_half,0.67315
Allantoin,soothing,158.117,-2.1798,-5.212171700000001,-5.212171700000001,0.0,lower_LogP_half,0.67315
Bisabolol,soothing,222.372,4.230200000000004,-1.0530271999999974,-1.0530271999999976,2.220446049250313e-16,higher_LogP_half,0.67315
Madecassoside,soothing,975.1320000000007,-2.0619999999999896,-10.112325199999995,-10.112325199999997,1.7763568394002505e-15,lower_LogP_half,0.67315
Azelaic acid,acne_antiinflammatory,188.22299999999996,1.8863,-2.5088873,-2.5088873,0.0,higher_LogP_half,0.67315
