descriptor,MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms
MW,1.0,0.3023578877653818,0.5375723371919167,0.36909299013414654,0.6051543447539044,0.5796024325829645,0.6296470584711359,0.258024130485061,0.20837648029608274,0.9330122173863105,0.7067527382105886
LogP,0.3023578877653818,1.0,-0.5140658028843902,-0.5477813623757677,-0.4259900552256331,0.030190057891731712,0.23881115327819136,0.3942836157624893,-0.17539339210618476,0.36541672423142163,-0.26021182013892513
TPSA,0.5375723371919167,-0.5140658028843902,1.0,0.8323236379465095,0.8879870042140887,0.5189933046758995,0.30653433499002475,0.027135157818463897,0.1062123739826599,0.4894979661944656,0.807502664273658
HBD,0.36909299013414654,-0.5477813623757677,0.8323236379465095,1.0,0.6842433383464098,0.3938125706569558,0.16410515743952492,-0.012004706640959019,0.11408431358013266,0.3212762549686103,0.5940640402246381
HBA,0.6051543447539044,-0.4259900552256331,0.8879870042140887,0.6842433383464098,1.0,0.4840170782747609,0.4635996609055528,0.07088656123633605,0.1770289531017982,0.5740476981482472,0.7949343314708271
RotB,0.5796024325829645,0.030190057891731712,0.5189933046758995,0.3938125706569558,0.4840170782747609,1.0,0.05382150763971962,0.033522720100991985,0.3307028825082407,0.6216395914745985,0.5232565759338792
NumRings,0.6296470584711359,0.23881115327819136,0.30653433499002475,0.16410515743952492,0.4635996609055528,0.05382150763971962,1.0,0.48858183601523103,-0.09631431692106433,0.7186035019856477,0.29326834850204125
NumAromaticRings,0.258024130485061,0.3942836157624893,0.027135157818463897,-0.012004706640959019,0.07088656123633605,0.033522720100991985,0.48858183601523103,1.0,-0.6198143811705334,0.3925977725077975,0.025996253291762847
FractionCSP3,0.20837648029608274,-0.17539339210618476,0.1062123739826599,0.11408431358013266,0.1770289531017982,0.3307028825082407,-0.09631431692106433,-0.6198143811705334,1.0,0.10417254111103945,0.21512278632001244
MolarRefractivity,0.9330122173863105,0.36541672423142163,0.4894979661944656,0.3212762549686103,0.5740476981482472,0.6216395914745985,0.7186035019856477,0.3925977725077975,0.10417254111103945,1.0,0.5418225387048553
NumHeteroatoms,0.7067527382105886,-0.26021182013892513,0.807502664273658,0.5940640402246381,0.7949343314708271,0.5232565759338792,0.29326834850204125,0.025996253291762847,0.21512278632001244,0.5418225387048553,1.0
