descriptor,r2_from_other_descriptors,vif
MolarRefractivity,0.9717536449932863,35.40279798091884
MW,0.9634809231218058,27.382948461030416
TPSA,0.92733336587361,13.76147405232349
NumHeteroatoms,0.8865221525690817,8.812292642480449
HBA,0.8756511669594432,8.041892919685436
LogP,0.8634700376649069,7.324399588902284
NumRings,0.8410744250948831,6.292253468939963
RotB,0.8193870743015823,5.53670229377587
HBD,0.7607262022022947,4.179312608417963
NumAromaticRings,0.6716182226743939,3.045235969377352
FractionCSP3,0.6548111159682873,2.896964665606467
