grid_mw_index,grid_logp_index,MW,LogP,logKp_cm_h,is_synthetic_physics_augmented,physics_source
0,0,89.4318,-1.0851400000000002,-4.01598338,True,descriptors.py::potts_guy_baseline
0,1,89.4318,-0.47651888888888905,-3.5838623911111114,True,descriptors.py::potts_guy_baseline
0,2,89.4318,0.13210222222222212,-3.1517414022222225,True,descriptors.py::potts_guy_baseline
0,3,89.4318,0.7407233333333332,-2.7196204133333337,True,descriptors.py::potts_guy_baseline
0,4,89.4318,1.3493444444444445,-2.287499424444445,True,descriptors.py::potts_guy_baseline
0,5,89.4318,1.9579655555555557,-1.8553784355555556,True,descriptors.py::potts_guy_baseline
0,6,89.4318,2.566586666666667,-1.4232574466666668,True,descriptors.py::potts_guy_baseline
0,7,89.4318,3.1752077777777785,-0.9911364577777774,True,descriptors.py::potts_guy_baseline
0,8,89.4318,3.7838288888888894,-0.559015468888889,True,descriptors.py::potts_guy_baseline
0,9,89.4318,4.39245,-0.12689448000000014,True,descriptors.py::potts_guy_baseline
1,0,127.39503888888889,-1.0851400000000002,-4.247559137222223,True,descriptors.py::potts_guy_baseline
1,1,127.39503888888889,-0.47651888888888905,-3.8154381483333335,True,descriptors.py::potts_guy_baseline
1,2,127.39503888888889,0.13210222222222212,-3.3833171594444447,True,descriptors.py::potts_guy_baseline
1,3,127.39503888888889,0.7407233333333332,-2.951196170555556,True,descriptors.py::potts_guy_baseline
1,4,127.39503888888889,1.3493444444444445,-2.519075181666667,True,descriptors.py::potts_guy_baseline
1,5,127.39503888888889,1.9579655555555557,-2.086954192777778,True,descriptors.py::potts_guy_baseline
1,6,127.39503888888889,2.566586666666667,-1.6548332038888893,True,descriptors.py::potts_guy_baseline
1,7,127.39503888888889,3.1752077777777785,-1.2227122149999996,True,descriptors.py::potts_guy_baseline
1,8,127.39503888888889,3.7838288888888894,-0.7905912261111113,True,descriptors.py::potts_guy_baseline
1,9,127.39503888888889,4.39245,-0.3584702372222225,True,descriptors.py::potts_guy_baseline
2,0,165.3582777777778,-1.0851400000000002,-4.479134894444445,True,descriptors.py::potts_guy_baseline
