row_index,Drug name,is_small_molecule,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),predicted_general_skin_logKp,exclusion_note
33,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
34,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,-3.1568333615587423,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
35,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.083333333,-3.1568333615587423,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
36,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,-3.156833361558744,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
37,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,-3.1568333615587423,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
38,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.166666667,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
39,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.25,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
40,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.25,-3.1568333615587414,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
41,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.25,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
42,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
43,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
44,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.333333333,-3.156833361558744,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
45,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,-3.1568333615587423,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
46,lidocaine,True,70940.0,234.34,0.889,1,1,32.12727744,0.416666667,-3.1568333615587436,BSA and copper ions are not in this table because RDKit descriptors are structurally inapplicable.
