dataset,validation,variant,target,model,n_observations,pooled_r2,pooled_rmse,pooled_mae,mean_fold_r2,sd_fold_r2,mean_fold_rmse,sd_fold_rmse,mean_fold_mae,sd_fold_mae,n_folds,n_drugs,excluded_drugs
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_amount_ug_cm2,MLR,134,-1.4014784414503776,8066.396215016524,5567.450175730225,-4244928.46191251,8485668.777230147,6534.545394197359,4402.554486839363,5163.321313619386,3688.970302751882,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_amount_ug_cm2,RandomForest,134,-0.4929395724640062,6360.061558433891,3874.386249082578,-1143519.7981710576,2285117.645148696,4061.3933742150975,3538.8397909059745,3147.3776480386073,2709.064804908877,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_amount_ug_cm2,XGBoost,134,-0.18993127664000187,5678.075255019385,2759.965244645471,-5167.010751127719,10305.170982510752,2163.059714064214,3683.2584777961706,1394.8920613198325,2314.4618153432916,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_percentage,MLR,134,-66.5075600842058,84.38641741107024,60.310739137819674,-49.69948183049176,48.37509063563151,38.81461851668517,49.89824453038144,34.55556315679668,43.8140860120147,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_percentage,RandomForest,134,-0.08595598380111924,10.702924331486326,7.178605407201989,-19.925814167501176,38.17618490234519,9.812453107963432,3.802130646853637,7.289991889373962,2.625458849000217,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,eight_feature_transfer_small_molecules_only,permeation_percentage,XGBoost,134,0.0583393120837562,9.966520484090106,6.048801917228976,-10.248689260426131,20.081253300626663,8.069304096451352,3.97623241359277,5.270142099226633,2.5554737378913273,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_amount_ug_cm2,MLR,134,-0.4839160948142216,6340.812000383651,4108.550424423138,-3961150.281266371,7918072.827197775,5614.456854342486,4042.691593861449,4317.0201119505955,3614.1518395063904,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_amount_ug_cm2,RandomForest,134,-0.4755493223529812,6322.911013929687,3763.0918617452753,-1144521.2433065353,2288215.0219771983,3845.3457704828384,3737.881152620248,2967.900949669027,2860.0326452447634,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_amount_ug_cm2,XGBoost,134,-0.18993127664000187,5678.075255019385,2759.965244645471,-5167.010751127719,10305.170982510752,2163.059714064214,3683.2584777961706,1394.8920613198325,2314.4618153432916,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_percentage,MLR,134,-0.3790635054997571,12.061143276778214,10.290270586520538,-23.818539437989603,40.998614851565506,12.223117047856471,2.822378916181383,10.791038669376597,2.4191279347701036,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_percentage,RandomForest,134,-0.044456901104352076,10.496429800085702,6.906972729663117,-18.97298188009164,36.353068527998346,9.63465794379638,3.8499663577787646,6.915818586492193,2.636388932956367,4,4,BSA; copper ions
Yuan small-molecule subset (four drugs only),leave-one-drug-out,seven_feature_small_molecules_only,permeation_percentage,XGBoost,134,0.0583393120837562,9.966520484090106,6.048801917228976,-10.248689260426131,20.081253300626663,8.069304096451352,3.97623241359277,5.270142099226633,2.5554737378913273,4,4,BSA; copper ions
