category,n_ingredients,mean_predicted_general_skin_logKp_cm_h,median_predicted_general_skin_logKp_cm_h,sd_predicted_general_skin_logKp_cm_h,n_in_leverage_domain,n_in_simple_MW_LogP_range
penetration_enhancer,5,-2.446301820255802,-2.221510173732351,0.9276419440136889,4,5
acne_antiinflammatory,1,-2.52400264066203,-2.52400264066203,,1,1
antioxidant,4,-2.5345145014940913,-2.548089850699444,0.11732909786137888,2,2
barrier_lipid,4,-2.9434506262377815,-2.6562477446062935,0.6031226560045514,0,1
antioxidant_vitc,5,-3.014248117989273,-2.689747414881901,0.6356359558634299,2,3
soothing,4,-3.0787177406448083,-2.8679328759737865,0.5962102227448346,2,2
exfoliant,4,-3.2287361461893354,-3.3452175969549467,0.2978773949882052,4,4
whitening,7,-3.439930655683976,-3.625816563238259,0.3804179058012679,6,7
moisturizer_vehicle,2,-3.6598613728272764,-3.6598613728272764,0.07733635401822984,2,2
moisturizer,6,-3.930115574308024,-3.849426880354118,0.6181983335116702,6,6
whitening_antioxidant,1,-4.340511156240897,-4.340511156240897,,1,1
anti_aging_retinoid,5,-3.693754117818591,-4.3425052896186855,1.0240825628829586,3,4
