row_index,drug_name,observed_permeation_amount_ug_cm2,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour)
0,BSA,93.96515777,-1512.970703125,171.5259246826172,-15.733327865600586,34.4558219909668,0.0,-4.8887786865234375,-777.0923461914062
1,BSA,103.1324902,-1529.3941650390625,181.4879913330078,-15.27422046661377,34.90031051635742,0.0,-4.8887786865234375,-760.6211547851562
2,BSA,345.4938423,-1250.471923828125,225.16590881347656,-17.818143844604492,108.64917755126953,0.0,-9.812383651733398,-905.9095458984375
3,BSA,230.5838763,-1930.0562744140625,215.22930908203125,-13.322308540344238,40.67896270751953,0.0,-3.9830124378204346,-262.8288269042969
4,BSA,216.0052712,-1962.666259765625,217.1376495361328,-13.18725872039795,40.88422775268555,0.0,-3.9830124378204346,-262.5439758300781
5,BSA,657.1194841,-1642.76318359375,287.70916748046875,-13.20688247680664,86.74536895751953,0.0,-2.8838419914245605,-249.24765014648438
6,BSA,722.8187001,-1586.16552734375,287.8558654785156,-12.91101360321045,86.6812515258789,0.0,-2.698068141937256,-251.9799346923828
7,BSA,642.57271,-1606.3360595703125,282.6312255859375,-14.070108413696289,129.92662048339844,0.0,-6.350348949432373,-330.4239196777344
8,BSA,706.9031923,-1609.514892578125,289.09954833984375,-13.243603706359863,90.2347412109375,0.0,-1.534545660018921,-258.8885192871094
9,BSA,366.7092141,-2318.18505859375,228.1490936279297,-12.75424575805664,44.42900848388672,0.0,0.5566479563713074,225.21189880371094
10,BSA,645.5966565,-2094.1513671875,280.73590087890625,-13.812872886657715,103.05551147460938,0.0,-2.473741292953491,175.5322723388672
11,BSA,858.5461502,-1965.21240234375,280.23553466796875,-13.79871654510498,158.46958923339844,0.0,-3.69846773147583,186.86822509765625
12,BSA,682.3933104,-2053.94091796875,279.9924011230469,-13.849594116210938,118.77770233154297,0.0,-2.293835163116455,172.8544158935547
13,BSA,448.8173186,-3027.4462890625,237.40948486328125,0.5688984990119934,46.318355560302734,0.0,-1.75773024559021,991.7319946289062
14,BSA,752.7398547,-2794.215576171875,289.46258544921875,-0.5768118500709534,104.96869659423828,0.0,-4.948581218719482,951.2492065429688
15,BSA,980.5544326,-2645.418701171875,288.58099365234375,-0.4120138883590698,160.3827667236328,0.0,-8.01827621459961,982.44287109375
16,BSA,768.4007143,-2756.159912109375,287.3335266113281,-0.6135331392288208,120.69088745117188,0.0,-4.768674850463867,946.4161376953125
17,BSA,710.309111,-2815.07275390625,286.5263977050781,-1.1300501823425293,104.59526062011719,0.0,-3.817660093307495,949.9622802734375
18,BSA,1006.1784,-2633.14697265625,287.4854736328125,-1.7786674499511719,160.56271362304688,0.0,-7.08649206161499,1014.2857666015625
19,BSA,930.2295971,-2706.337646484375,286.2380065917969,-1.1404967308044434,120.87084197998047,0.0,-3.637754201889038,1015.80859375
20,BSA,787.3401685,-3262.661865234375,345.9051818847656,-3.0507073402404785,103.7889404296875,0.0,-4.928677082061768,1413.863037109375
21,BSA,1202.225625,-3026.62109375,346.64581298828125,-2.9171605110168457,159.75640869140625,0.0,-8.098751068115234,1532.3018798828125
22,BSA,872.2016558,-3205.1630859375,345.6167907714844,-3.0611538887023926,120.06452178955078,0.0,-4.748770713806152,1428.47412109375
23,BSA,930.038611,-3232.240966796875,351.9707946777344,-3.172117233276367,103.7889404296875,0.0,-4.501074314117432,1513.8724365234375
24,BSA,1342.950544,-2991.5810546875,352.71142578125,-3.0385704040527344,159.75640869140625,0.0,-7.901376247406006,1636.9296875
25,BSA,1021.457288,-3169.973388671875,351.6824035644531,-3.1825637817382812,120.06452178955078,0.0,-4.321167945861816,1533.251220703125
26,BSA,463.4118392,-3563.12109375,307.053466796875,-3.4522528648376465,45.16346740722656,0.0,-5.521543979644775,1491.616943359375
27,BSA,1059.527182,-3201.649169921875,395.0238952636719,-3.277836799621582,103.81380462646484,0.0,-4.628396511077881,1579.3759765625
28,BSA,1433.255135,-2983.398193359375,395.7645263671875,-3.144289493560791,159.78128051757812,0.0,-8.044254302978516,1680.0245361328125
29,BSA,1200.029285,-3127.73779296875,394.7355041503906,-3.288283348083496,120.08938598632812,0.0,-4.448490142822266,1610.398681640625
30,BSA,1178.288701,-3167.585693359375,395.0238952636719,-3.277836799621582,102.80419158935547,0.0,-3.07289981842041,1653.412841796875
31,BSA,1558.382857,-2944.165771484375,395.7645263671875,-3.144289493560791,158.96859741210938,0.0,-4.627928733825684,1759.229248046875
32,BSA,1244.210734,-3116.437744140625,394.7355041503906,-3.288283348083496,119.07977294921875,0.0,-2.892993688583374,1661.671875
33,lidocaine,1024.531509,4483.466796875,-31.27242088317871,-4.780736446380615,37.08831024169922,0.0,-1.2706427574157715,-5472.1669921875
34,lidocaine,1109.929295,4483.466796875,-31.27242088317871,-4.780736446380615,37.08831024169922,0.0,-1.2706427574157715,-5472.1669921875
35,lidocaine,1488.148502,4483.466796875,-31.27242088317871,-4.780736446380615,37.08831024169922,0.0,-1.2706427574157715,-5472.1669921875
36,lidocaine,910.694674,4613.798828125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4888.6982421875
37,lidocaine,2219.250807,4613.798828125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4888.6982421875
38,lidocaine,2636.662022,4613.798828125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4888.6982421875
39,lidocaine,910.694674,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
40,lidocaine,2082.29003,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
41,lidocaine,2490.677205,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
42,lidocaine,910.694674,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
43,lidocaine,2082.29003,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
44,lidocaine,2490.677205,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
45,lidocaine,910.694674,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
46,lidocaine,2082.29003,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
47,lidocaine,2490.677205,4611.720703125,-30.754968643188477,-4.778183460235596,37.08831024169922,0.0,-1.2706427574157715,-4980.76025390625
48,lidocaine,910.694674,4543.9140625,-30.880699157714844,-4.825878620147705,37.08831024169922,0.0,-1.2706427574157715,-5243.52294921875
49,lidocaine,2082.29003,4543.9140625,-30.880699157714844,-4.825878620147705,37.08831024169922,0.0,-1.2706427574157715,-5243.52294921875
50,lidocaine,910.694674,4548.08740234375,-30.880699157714844,-4.985894203186035,36.69436264038086,0.0,-1.2706427574157715,-5248.82080078125
51,lidocaine,2082.29003,4548.08740234375,-30.880699157714844,-4.985894203186035,36.69436264038086,0.0,-1.2706427574157715,-5248.82080078125
52,lidocaine,2862.848942,5156.0986328125,-30.076526641845703,-4.985894203186035,36.69436264038086,0.0,-1.2706427574157715,-4149.08056640625
