claim,source_file,source_value,expected_paper_token,paper_token_occurrences,status,details
Experimental 4A compound count,transfer_learning_run_manifest.csv,214,214,18,PASS,Experimental 4A compound count
Experimental Yuan observation count,transfer_learning_run_manifest.csv,191,191,11,PASS,Experimental Yuan observation count
Cosmetic screening count,transfer_learning_run_manifest.csv,48,48,15,PASS,Cosmetic screening count
Descriptor-transfer eligible Yuan rows,transfer_learning_run_manifest.csv,134,134,2,PASS,Descriptor-transfer eligible Yuan rows
BSA/copper excluded transfer rows,transfer_learning_run_manifest.csv,57,57,5,PASS,BSA/copper excluded transfer rows
Curation missing values,phase2_curation_summary.csv,0.0,0,219,PASS,Curation missing values
Curation duplicate canonical SMILES,phase2_curation_summary.csv,0.0,0,219,PASS,Curation duplicate canonical SMILES
Curation leverage-flagged compounds,phase2_curation_summary.csv,11.0,11,7,PASS,Curation leverage-flagged compounds
Curation leverage threshold,phase2_curation_summary.csv,0.1682242990654205,0.1682,1,PASS,Curation leverage threshold
Curation IQR lower bound,phase2_curation_summary.csv,-6.15625,-6.156,1,PASS,Curation IQR lower bound
Curation IQR upper bound,phase2_curation_summary.csv,0.87375,0.874,1,PASS,Curation IQR upper bound
Skin logKp mean,phase3_eda_summary.csv,-2.6571261682242993,-2.657,1,PASS,Experimental 214-compound target distribution.
Skin logKp std,phase3_eda_summary.csv,1.1684247804522634,1.168,1,PASS,Experimental 214-compound target distribution.
Skin logKp 50%,phase3_eda_summary.csv,-2.6500000000000004,-2.650,1,PASS,Experimental 214-compound target distribution.
Skin logKp min,phase3_eda_summary.csv,-6.0,-6.000,1,PASS,Experimental 214-compound target distribution.
Skin logKp max,phase3_eda_summary.csv,0.12,0.120,1,PASS,Experimental 214-compound target distribution.
VIF MolarRefractivity,phase3_vif.csv,35.40279798091884,35.403,1,PASS,Largest reported multicollinearity diagnostics.
VIF MW,phase3_vif.csv,27.382948461030416,27.383,1,PASS,Largest reported multicollinearity diagnostics.
VIF TPSA,phase3_vif.csv,13.76147405232349,13.761,1,PASS,Largest reported multicollinearity diagnostics.
VIF NumHeteroatoms,phase3_vif.csv,8.812292642480449,8.812,1,PASS,Largest reported multicollinearity diagnostics.
4A Potts-Guy pooled_r2,phase4a_model_performance.csv,-0.2356386095387932,-0.236,2,PASS,Pooled five-fold out-of-fold metric.
4A Potts-Guy pooled_rmse,phase4a_model_performance.csv,1.2957744407042318,1.296,2,PASS,Pooled five-fold out-of-fold metric.
4A Potts-Guy pooled_mae,phase4a_model_performance.csv,0.9509330486036992,0.951,1,PASS,Pooled five-fold out-of-fold metric.
4A MLR pooled_r2,phase4a_model_performance.csv,0.2649973496202031,0.265,2,PASS,Pooled five-fold out-of-fold metric.
4A MLR pooled_rmse,phase4a_model_performance.csv,0.9993741845234486,0.999,2,PASS,Pooled five-fold out-of-fold metric.
4A MLR pooled_mae,phase4a_model_performance.csv,0.754748378147029,0.755,1,PASS,Pooled five-fold out-of-fold metric.
4A RandomForest pooled_r2,phase4a_model_performance.csv,0.48385824262394,0.484,3,PASS,Pooled five-fold out-of-fold metric.
4A RandomForest pooled_rmse,phase4a_model_performance.csv,0.837467905097449,0.837,2,PASS,Pooled five-fold out-of-fold metric.
4A RandomForest pooled_mae,phase4a_model_performance.csv,0.6088766102024924,0.609,1,PASS,Pooled five-fold out-of-fold metric.
4A XGBoost pooled_r2,phase4a_model_performance.csv,0.4312879088862669,0.431,2,PASS,Pooled five-fold out-of-fold metric.
4A XGBoost pooled_rmse,phase4a_model_performance.csv,0.8790830473265774,0.879,2,PASS,Pooled five-fold out-of-fold metric.
4A XGBoost pooled_mae,phase4a_model_performance.csv,0.6374367682399037,0.637,1,PASS,Pooled five-fold out-of-fold metric.
4A GaussianProcess pooled_r2,phase4a_model_performance.csv,0.4923448034761006,0.492,5,PASS,Pooled five-fold out-of-fold metric.
4A GaussianProcess pooled_rmse,phase4a_model_performance.csv,0.830554416996462,0.831,3,PASS,Pooled five-fold out-of-fold metric.
4A GaussianProcess pooled_mae,phase4a_model_performance.csv,0.6215485739714551,0.622,3,PASS,Pooled five-fold out-of-fold metric.
Cosmetics inside simple MW/LogP range,phase4a_ad_comparison.csv,38,38,11,PASS,Count of 48 cosmetics inside both existing range flags.
Cosmetics inside leverage domain,phase4a_ad_comparison.csv,33,33,5,PASS,Count of 48 cosmetics at or below leverage threshold.
Range-inside but leverage-outside cosmetics,phase4a_ad_comparison.csv,5,5,84,PASS,Disagreement count between simple and leverage applicability domains.
Random split permeation_amount_ug_cm2 MLR pooled_r2,phase4b_random_split_performance.csv,0.1912274513931356,0.191,2,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 MLR pooled_rmse,phase4b_random_split_performance.csv,2795.6030185625464,"2,795.603",1,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 RandomForest pooled_r2,phase4b_random_split_performance.csv,0.9481400196534367,0.948,2,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 RandomForest pooled_rmse,phase4b_random_split_performance.csv,707.9106950534235,707.911,2,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 XGBoost pooled_r2,phase4b_random_split_performance.csv,0.967286259303752,0.967,5,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 XGBoost pooled_rmse,phase4b_random_split_performance.csv,562.2473319099707,562.247,3,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage MLR pooled_r2,phase4b_random_split_performance.csv,0.935692468455355,0.936,2,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage MLR pooled_rmse,phase4b_random_split_performance.csv,6.983726708617866,6.984,1,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage RandomForest pooled_r2,phase4b_random_split_performance.csv,0.9615940595078,0.962,2,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage RandomForest pooled_rmse,phase4b_random_split_performance.csv,5.39703853030204,5.397,1,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage XGBoost pooled_r2,phase4b_random_split_performance.csv,0.9649880169623416,0.965,3,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_percentage XGBoost pooled_rmse,phase4b_random_split_performance.csv,5.153053731631109,5.153,1,PASS,Fixed 70:30 Yuan test-set metric.
Random split permeation_amount_ug_cm2 Fick proxy R2,phase4b_random_split_performance.csv,-29.882520537739985,-29.883,1,PASS,"Explicitly labelled analytical Fick-proxy, not original C solver."
Random split permeation_percentage Fick proxy R2,phase4b_random_split_performance.csv,-3.78008091955202,-3.780,1,PASS,"Explicitly labelled analytical Fick-proxy, not original C solver."
Six-drug LODO amount Fick_diffusion_proxy pooled_r2,phase4b_lodo_performance.csv,-18.33615289633747,-18.336,2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount Fick_diffusion_proxy pooled_rmse,phase4b_lodo_performance.csv,19835.665242387902,"19,835.665",2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount Fick_diffusion_proxy pooled_mae,phase4b_lodo_performance.csv,11418.27487511872,"11,418.275",1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount MLR pooled_r2,phase4b_lodo_performance.csv,-2.21275964435927,-2.213,2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount MLR pooled_rmse,phase4b_lodo_performance.csv,8085.387756885484,"8,085.388",2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount MLR pooled_mae,phase4b_lodo_performance.csv,5159.020603747607,"5,159.021",1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount RandomForest pooled_r2,phase4b_lodo_performance.csv,-0.1616414780409625,-0.162,2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount RandomForest pooled_rmse,phase4b_lodo_performance.csv,4861.807843140067,"4,861.808",2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount RandomForest pooled_mae,phase4b_lodo_performance.csv,2318.9189589015105,"2,318.919",1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount XGBoost pooled_r2,phase4b_lodo_performance.csv,-0.1217845604880933,-0.122,5,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount XGBoost pooled_rmse,phase4b_lodo_performance.csv,4777.6734605584425,"4,777.673",4,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO amount XGBoost pooled_mae,phase4b_lodo_performance.csv,2081.587728154605,"2,081.588",2,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO percentage RandomForest pooled_r2,phase4b_lodo_performance.csv,-0.0378288035003613,-0.038,1,PASS,Pooled six-drug leave-one-drug-out metric.
